Timestamp,Cycle,Countdown Type,LSL Data
1970-01-03 02:38:57.481365,5,First Countdown,"[79.0, 97.0, 3.0, -42.0, -57.0, -50.0, 2.3333332538604736, 28.16666603088379]"
1970-01-03 02:38:58.488067,5,First Countdown,"[4.0, 0.0, 6.0, 47.0, 12.0, 13.0, 22.0, 15.333333015441895]"
1970-01-03 02:38:59.489197,5,First Countdown,"[54.0, 23.0, 43.0, 60.0, 56.0, 15.0, 25.83333396911621, 36.5]"
1970-01-03 02:39:00.502870,5,First Countdown,"[108.0, 99.0, 84.0, 137.0, 26.0, 17.0, 0.0, -1.8333333730697632]"
1970-01-03 02:39:01.471848,5,First Countdown,"[9.0, 2.0, 8.0, -2.0, -4.0, -25.0, -18.16666603088379, -16.0]"
1970-01-03 02:39:02.492123,5,First Countdown,"[-40.0, -17.0, -27.0, -39.0, -17.0, -27.0, -8.166666984558105, -16.0]"
1970-01-03 02:39:03.487459,5,First Countdown,"[-41.0, 21.0, -11.0, 15.0, -6.0, 12.0, 3.1666667461395264, -1.0]"
1970-01-03 02:39:04.488172,5,First Countdown,"[-2.0, 48.0, -9.0, -12.0, -8.0, 8.0, -1.5, -2.5]"
1970-01-03 02:39:05.480091,5,First Countdown,"[82.0, 34.0, 18.0, 43.0, 50.0, 8.0, 15.5, 34.33333206176758]"
1970-01-03 02:39:06.491101,5,First Countdown,"[20.0, -26.0, 23.0, -20.0, -22.0, 0.0, 26.66666603088379, 30.16666603088379]"
1970-01-03 02:39:07.486722,5,First Countdown,"[-25.0, -35.0, -3.0, -25.0, -5.0, 28.0, 9.0, 10.833333015441895]"
1970-01-03 02:39:08.494822,5,First Countdown,"[-1.0, 1.0, 0.0, -40.0, -5.0, -9.0, -15.333333015441895, 7.833333492279053]"
1970-01-03 02:39:09.493797,5,First Countdown,"[-57.0, -30.0, -5.0, -77.0, -71.0, -65.0, -50.33333206176758, -53.16666793823242]"
1970-01-03 02:39:10.501430,5,First Countdown,"[49.0, 9.0, 13.0, 27.0, 34.0, 54.0, 16.0, 35.83333206176758]"
1970-01-03 02:39:11.493490,5,First Countdown,"[16.0, 2.0, 6.0, -3.0, -8.0, -26.0, 5.5, -3.8333332538604736]"
1970-01-03 02:39:12.500058,5,First Countdown,"[29.0, 5.0, 30.0, -8.0, 31.0, 31.0, 24.33333396911621, 6.833333492279053]"
1970-01-03 02:39:13.484848,5,First Countdown,"[53.0, 16.0, -23.0, -11.0, -32.0, 10.0, 30.0, 33.16666793823242]"
1970-01-03 02:39:14.502443,5,First Countdown,"[58.0, 73.0, 68.0, 33.0, 61.0, 69.0, 61.0, 33.16666793823242]"
1970-01-03 02:39:16.573249,5,Second Countdown,"[23.0, 30.0, 30.0, 4.0, 32.0, 26.0, 10.666666984558105, -3.1666667461395264]"
1970-01-03 02:39:17.566552,5,Second Countdown,"[60.0, 77.0, 21.0, 60.0, 31.0, 48.0, 71.66666412353516, 46.83333206176758]"
1970-01-03 02:39:18.566862,5,Second Countdown,"[21.0, -11.0, 26.0, 0.0, -27.0, -12.0, -17.33333396911621, -25.66666603088379]"
1970-01-03 02:39:19.557828,5,Second Countdown,"[-80.0, -48.0, -23.0, -45.0, -73.0, -63.0, -78.0, -59.83333206176758]"
1970-01-03 02:39:20.924836,5,Second Countdown,"[77.0, 58.0, 20.0, 40.0, 47.0, 51.0, 62.83333206176758, 58.0]"
1970-01-03 02:39:24.587598,5,Third Countdown,"[13.0, -39.0, 5.0, 18.0, 27.0, 22.0, 12.666666984558105, -1.1666666269302368]"
1970-01-03 02:39:23.838083,5,Third Countdown,"[20.0, 56.0, 17.0, 20.0, 1.0, 23.0, 12.833333015441895, 29.0]"
1970-01-03 02:39:27.854976,5,Third Countdown,"[21.0, 62.0, 41.0, 87.0, 59.0, 58.0, 54.66666793823242, 62.83333206176758]"
